#cod_section,# names,#name_section,#geo+lat,#geo+lon
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
TN0000000000001,,,615423.003326,1997798.00395
TN0000000000002,,,625431.447204,1998799.45841
,Departementale,RD52,0.0,0.0
TN0000000000003,Departementale,RD25,614588.013107,1998915.41977
TN0000000000004,,,625431.447204,1998799.45841
TN0000000000005,,,614588.013107,1998915.41977
TN0000000000007,Departementale,RD25,614080.28938,1999945.06774
TN0000000000008,Departementale,RD25,615423.003326,1997798.00395
TN0000000000009,,,619871.999128,1998574.99559
TN0000000000010,,,614896.002675,1999614.0043
TN0000000000011,Departementale,RD25,613163.99632,2001023.99757
TN0000000000013,,,613163.99632,2001023.99757
TN0000000000014,,,614896.002675,1999614.0043
TN0000000000015,Departementale,RD25,621424.447123,2003297.11277
TN0000000000016,,,621424.447123,2003297.11277
TN0000000000017,Departementale,RD25,621017.997853,2005021.00402
TN0000000000018,Departementale,RD25,611358.997614,2005061.99575
TN0000000000019,,,613465.002589,2006021.00044
TN0000000000020,,,611358.997614,2005061.99575
TN0000000000021,,,613465.002589,2006021.00044
TN0000000000022,,,611854.003899,2006024.99962
TN0000000000023,,,621017.997853,2005021.00402
TN0000000000024,,,614065.839118,2006719.64169
TN0000000000025,,,613901.651996,2007731.06298
TN0000000000026,Departementale,RD25,624713.99999,2008283.99939
TN0000000000027,Departementale,RD25,625603.998796,2009015.00073
TN0000000000028,,,625603.998796,2009015.00073
TN0000000000029,,,614517.563462,2009769.70726
TN0000000000030,,,618385.321579,2007438.83541
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
,,,0.0,0.0
TN0000000000031,,,842097.997603,2009851.00052
TN0000000000032,Departementale,RD41,842778.11333,1997434.43021
TN0000000000033,Departementale,RD25,605409.002498,2010344.00018
TN0000000000034,,,605389.81906,2010410.42952
